ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
24368,JC103046,1/3/2019 14:37,050XX S INDIANA AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,224,2,3,38,01A,1178455,1871575,2019,1/10/2019 15:16,41.80290852,-87.62104831,"(41.802908524, -87.62104831)"
24369,JC103046,1/3/2019 14:37,050XX S INDIANA AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,224,2,3,38,01A,1178455,1871575,2019,1/10/2019 15:16,41.80290852,-87.62104831,"(41.802908524, -87.62104831)"
24370,JC105864,1/5/2019 16:23,012XX N ADA ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1433,14,2,24,01A,1167119,1908611,2019,1/18/2019 9:37,41.90478889,-87.66155984,"(41.904788891, -87.66155984)"
24372,JC107385,1/6/2019 22:23,060XX W 63RD ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,812,8,13,64,01A,1137054,1862130,2019,1/18/2019 9:37,41.77783091,-87.77311239,"(41.77783091, -87.773112387)"
24373,JC108358,1/7/2019 15:45,002XX W 87TH ST,110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,TRUE,FALSE,622,6,21,44,01A,1176442,1847223,2019,1/18/2019 9:37,41.73612947,-87.62916204,"(41.736129473, -87.629162044)"
24374,JC108237,1/7/2019 17:07,020XX W 63RD ST,110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,FALSE,FALSE,714,7,16,67,01A,1164001,1862860,2019,1/18/2019 9:37,41.77930992,-87.67430269,"(41.779309922, -87.674302688)"
24375,JC113053,1/11/2019 19:00,046XX S DREXEL BLVD,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,FALSE,FALSE,222,2,4,39,01A,1183100,1874503,2019,1/18/2019 9:37,41.81083629,-87.60392204,"(41.810836292, -87.60392204)"
24376,JC113431,1/11/2019 20:00,050XX W CONCORD PL,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,2533,25,37,25,01A,1142582,1910502,2019,1/18/2019 9:37,41.91046992,-87.75164514,"(41.910469919, -87.751645139)"
24377,JC113461,1/11/2019 20:57,001XX S KILDARE AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,1115,11,28,26,01A,1147752,1898871,2019,1/18/2019 9:37,41.87845542,-87.73295131,"(41.878455417, -87.73295131)"
24379,JC114123,1/12/2019 12:45,079XX S KINGSTON AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,TRUE,FALSE,422,4,7,46,01A,1194565,1852821,2019,1/23/2019 11:26,41.75106476,-87.56258312,"(41.751064764, -87.56258312)"
